,Open,High,Low,Close,Volume
2018-10-08,750.0,787.0,710.0499877929688,774.3499755859375,3534258.0
2018-10-09,762.0,785.0,731.0,767.7000122070312,293295.0
2018-10-10,766.0,798.0,766.0,791.2999877929688,254753.0
2018-10-11,760.0,774.7000122070312,745.0,758.2999877929688,64953.0
2018-10-12,760.0,785.2000122070312,760.0,781.4000244140625,49674.0
2018-10-15,758.0999755859375,794.5,758.0999755859375,783.4000244140625,40739.0
2018-10-16,780.0499877929688,797.0,774.9000244140625,779.4000244140625,72475.0
2018-10-17,780.1500244140625,792.0,768.9500122070312,775.5,77718.0
2018-10-19,770.0,770.9500122070312,732.0,736.6500244140625,154689.0
2018-10-22,750.0,750.0,651.0,678.4000244140625,66813.0
2018-10-23,680.0,680.0,623.0999755859375,635.0999755859375,127341.0
2018-10-24,645.9500122070312,650.5999755859375,612.25,643.2999877929688,38009.0
2018-10-25,639.9000244140625,660.7999877929688,617.0499877929688,643.5499877929688,68841.0
2018-10-26,657.7000122070312,670.0,622.2999877929688,662.7999877929688,66917.0
2018-10-29,655.0499877929688,664.8499755859375,625.25,635.4000244140625,26365.0
2018-10-30,630.0,648.0,627.9500122070312,645.5,30058.0
2018-10-31,640.0499877929688,671.0,622.0,662.75,64324.0
2018-11-01,659.0499877929688,665.0,643.0,660.1500244140625,18275.0
2018-11-02,667.0,679.9500122070312,662.0,670.2999877929688,16821.0
2018-11-05,656.0,666.0,648.9000244140625,650.2000122070312,103024.0
2018-11-06,650.2000122070312,665.6500244140625,649.9500122070312,662.3499755859375,36501.0
2018-11-07,665.0,665.0,638.7000122070312,657.9500122070312,1916.0
2018-11-09,658.0499877929688,670.0,651.0999755859375,668.7999877929688,7177.0
2018-11-12,665.0,675.0,654.0,660.0,74733.0
2018-11-13,659.7999877929688,673.0,652.75,665.1500244140625,56424.0
2018-11-14,666.3499755859375,680.0,666.2999877929688,674.75,100282.0
2018-11-15,674.75,683.9500122070312,666.5999755859375,680.2000122070312,6829.0
2018-11-16,683.75,683.75,670.0,675.0999755859375,7699.0
2018-11-19,671.0499877929688,689.0,668.0,685.2000122070312,16158.0
2018-11-20,680.4500122070312,695.0,676.5499877929688,690.25,7517.0
2018-11-21,687.9500122070312,706.5999755859375,687.25,690.6500244140625,7138.0
2018-11-22,690.0,740.0,686.8499755859375,732.0499877929688,25064.0
2018-11-26,733.0,742.5,726.0,732.5999755859375,16043.0
2018-11-27,728.0,735.0,716.0,725.5499877929688,16482.0
2018-11-28,732.5,784.8499755859375,720.0499877929688,774.7000122070312,114237.0
2018-11-29,762.2000122070312,782.0499877929688,757.0,762.4000244140625,9773.0
2018-11-30,757.0499877929688,779.9500122070312,751.0,769.3499755859375,188248.0
2018-12-03,770.5,785.0,760.0999755859375,779.1500244140625,111929.0
2018-12-04,770.0499877929688,780.0,765.0999755859375,771.2000122070312,11560.0
2018-12-05,764.0499877929688,799.7999877929688,761.0,776.0499877929688,14960.0
2018-12-06,777.0,786.0,765.0,775.0999755859375,6641.0
2018-12-07,771.0499877929688,784.0,765.0,778.5499877929688,8816.0
2018-12-10,732.75,784.0,732.75,774.5999755859375,13727.0
2018-12-11,761.75,790.0,759.25,785.9000244140625,17432.0
2018-12-12,778.0499877929688,815.2999877929688,777.0,805.5499877929688,57679.0
2018-12-13,814.4000244140625,865.0,797.0999755859375,835.0,490161.0
2018-12-14,822.5,848.9500122070312,822.5,839.4500122070312,317736.0
2018-12-17,840.0,847.9000244140625,835.5999755859375,839.9500122070312,83533.0
2018-12-18,836.7999877929688,844.7999877929688,821.0,835.7000122070312,108114.0
2018-12-19,833.0999755859375,855.0,833.0499877929688,849.2999877929688,44806.0
2018-12-20,847.7999877929688,851.0,838.0,843.3499755859375,9331.0
2018-12-21,843.3499755859375,854.0,805.1500244140625,823.0,22012.0
2018-12-24,812.2000122070312,826.9500122070312,780.0499877929688,788.4000244140625,19024.0
2018-12-26,788.4500122070312,868.0,735.0,800.3499755859375,41382.0
2018-12-27,819.75,836.0,792.0999755859375,807.2999877929688,18326.0
2018-12-28,810.0,825.0,810.0,816.75,13414.0
2018-12-31,835.0,863.2000122070312,820.0,857.5,137147.0
2019-01-01,851.0,865.0,840.0,845.25,15420.0
2019-01-02,840.25,856.75,829.9500122070312,840.6500244140625,10812.0
2019-01-03,830.2000122070312,845.9500122070312,830.2000122070312,837.6500244140625,5728.0
2019-01-04,831.0499877929688,843.9500122070312,830.9000244140625,840.8499755859375,10472.0
2019-01-07,835.0499877929688,846.75,835.0499877929688,840.6500244140625,11036.0
2019-01-08,836.1500244140625,846.9000244140625,836.1500244140625,841.9500122070312,46053.0
2019-01-09,835.2999877929688,845.0,835.2999877929688,843.7999877929688,15787.0
2019-01-10,840.0499877929688,846.0,838.2999877929688,840.9500122070312,4463.0
2019-01-11,840.0,848.9500122070312,835.0,842.7000122070312,8986.0
2019-01-14,827.8499755859375,836.0,808.7999877929688,828.9500122070312,9203.0
2019-01-15,828.0,852.0,828.0,849.8499755859375,17858.0
2019-01-16,840.9500122070312,855.0,837.4000244140625,841.0999755859375,8364.0
2019-01-17,849.9500122070312,857.0,836.0499877929688,853.8499755859375,21528.0
2019-01-18,860.0,860.0,836.7999877929688,842.5999755859375,3431.0
2019-01-21,832.0,850.0,830.0,837.25,3788.0
2019-01-22,842.2000122070312,855.0,842.0,850.7000122070312,7646.0
2019-01-23,849.5499877929688,858.5999755859375,849.5499877929688,854.1500244140625,8962.0
2019-01-24,849.0499877929688,859.8499755859375,845.9000244140625,854.5,3740.0
2019-01-25,830.25,858.4500122070312,830.25,850.0999755859375,3797.0
2019-01-28,849.9500122070312,850.0,824.0499877929688,826.4000244140625,6575.0
2019-01-29,825.0499877929688,838.0,825.0,828.6500244140625,9311.0
2019-01-30,828.0499877929688,837.7000122070312,828.0,830.75,80331.0
2019-01-31,843.7999877929688,869.8499755859375,835.5999755859375,853.8499755859375,13153.0
2019-02-01,858.25,858.25,811.0,838.4000244140625,20406.0
2019-02-04,840.0,840.0,820.0999755859375,825.2000122070312,63491.0
2019-02-05,834.5999755859375,840.0,826.0499877929688,839.8499755859375,107631.0
2019-02-06,839.7999877929688,848.0,835.0,839.1500244140625,100637.0
2019-02-07,835.0499877929688,853.0,835.0499877929688,850.5999755859375,52832.0
2019-02-08,840.0499877929688,864.0,840.0499877929688,861.75,49909.0
2019-02-11,856.0,869.9000244140625,851.0999755859375,867.4000244140625,21235.0
2019-02-12,867.4000244140625,894.9000244140625,867.4000244140625,890.9500122070312,44470.0
2019-02-14,895.0,909.0,885.25,904.0,8555.0
2019-02-15,890.0,911.9500122070312,881.0,897.4500122070312,9335.0
2019-02-18,885.0,904.0,885.0,892.6500244140625,23630.0
2019-02-19,894.0,909.4500122070312,894.0,907.4000244140624,21316.0
2019-02-20,904.9500122070312,945.0,904.9500122070312,938.9000244140624,81520.0
2019-02-21,950.0,962.5,939.0999755859376,956.2999877929688,18380.0
2019-02-22,949.9500122070312,1017.0,949.9500122070312,999.2999877929688,69359.0
2019-02-25,1000.2999877929688,1023.0,977.0,987.9000244140624,32770.0
2019-02-26,969.0,1008.0999755859376,950.0,991.0999755859376,25326.0
2019-02-27,992.0499877929688,1000.8499755859376,985.0499877929688,992.5,11808.0
2019-02-28,980.5499877929688,1010.0,980.5499877929688,1004.1500244140624,501196.0
2019-03-01,1005.5,1085.0,1002.2000122070312,1069.5999755859375,151797.0
2019-03-05,1075.0,1145.0,1068.25,1113.8499755859375,48067.0
2019-03-06,1124.699951171875,1190.0,1120.0,1166.199951171875,203998.0
2019-03-07,1166.0,1238.9000244140625,1165.0,1226.199951171875,226934.0
2019-03-08,1234.0,1249.0,1170.5,1239.800048828125,225543.0
2019-03-11,1235.0,1260.0,1170.699951171875,1239.949951171875,66318.0
2019-03-12,1221.0,1260.0,1221.0,1250.199951171875,49169.0
2019-03-13,1252.0,1259.949951171875,1196.050048828125,1208.75,51455.0
2019-03-14,1219.949951171875,1225.0,1175.050048828125,1197.800048828125,17761.0
2019-03-15,1192.0,1196.300048828125,1131.5,1162.4000244140625,12364.0
2019-03-18,1142.0,1185.0,1106.449951171875,1145.25,56598.0
2019-03-19,1159.9000244140625,1165.0,1132.8499755859375,1151.0,6716.0
2019-03-20,1150.199951171875,1158.0,1136.0999755859375,1142.8499755859375,6229.0
2019-03-22,1135.0,1194.0,1129.25,1155.550048828125,22653.0
2019-03-25,1155.550048828125,1155.550048828125,1129.0,1135.75,7539.0
2019-03-26,1120.050048828125,1165.0,1120.050048828125,1150.550048828125,8844.0
2019-03-27,1167.550048828125,1174.800048828125,1136.300048828125,1143.4000244140625,15595.0
2019-03-28,1144.0,1159.8499755859375,1075.4000244140625,1096.800048828125,46575.0
2019-04-01,1156.0,1207.9000244140625,1146.0,1161.0,141742.0
2019-04-02,1171.9000244140625,1200.0,1152.050048828125,1160.0999755859375,11779.0
2019-04-03,1155.0,1172.0,1115.0,1159.5999755859375,43959.0
2019-04-04,1159.5999755859375,1170.0,1144.0,1146.300048828125,7949.0
2019-04-05,1156.5,1156.5,1132.4000244140625,1139.75,3381.0
2019-04-08,1145.050048828125,1193.050048828125,1131.25,1137.1500244140625,17827.0
2019-04-09,1145.949951171875,1170.699951171875,1122.199951171875,1136.300048828125,13455.0
2019-04-10,1144.550048828125,1173.0,1135.0,1168.5999755859375,9497.0
2019-04-11,1150.9000244140625,1172.949951171875,1141.050048828125,1164.6500244140625,21568.0
2019-04-12,1173.0,1177.949951171875,1147.0,1167.3499755859375,39971.0
2019-04-15,1160.0,1173.949951171875,1149.6500244140625,1169.9000244140625,20024.0
2019-04-16,1150.949951171875,1170.0999755859375,1150.0,1152.050048828125,6454.0
2019-04-18,1135.0,1155.0,1135.0,1146.199951171875,2943.0
2019-04-22,1162.5,1162.9000244140625,1085.0,1123.800048828125,50897.0
2019-04-23,1118.699951171875,1125.75,1098.550048828125,1110.25,9082.0
2019-04-24,1115.3499755859375,1119.0,1100.050048828125,1111.25,5783.0
2019-04-25,1113.5,1170.949951171875,1110.0,1169.300048828125,18761.0
2019-04-26,1182.0,1248.449951171875,1154.0,1166.0999755859375,69980.0
2019-04-30,1142.800048828125,1210.0,1140.050048828125,1198.3499755859375,74333.0
2019-05-02,1200.0,1250.0,1196.300048828125,1238.449951171875,20261.0
2019-05-03,1244.949951171875,1323.9000244140625,1232.25,1303.949951171875,46281.0
2019-05-06,1275.0,1364.800048828125,1253.0,1343.1500244140625,326222.0
2019-05-07,1357.0,1462.949951171875,1351.0,1411.5999755859375,426869.0
2019-05-08,1399.9000244140625,1448.199951171875,1382.1500244140625,1426.5999755859375,666307.0
2019-05-09,1435.0,1459.0,1402.0999755859375,1420.6500244140625,82194.0
2019-05-10,1412.0999755859375,1439.1500244140625,1387.0,1398.4000244140625,25807.0
2019-05-13,1398.4000244140625,1398.4000244140625,1308.949951171875,1343.449951171875,38702.0
2019-05-14,1343.449951171875,1394.0,1320.050048828125,1384.6500244140625,50742.0
2019-05-15,1387.9000244140625,1405.3499755859375,1387.300048828125,1402.699951171875,23247.0
2019-05-16,1416.0,1474.949951171875,1412.0999755859375,1445.4000244140625,104340.0
2019-05-17,1438.800048828125,1513.550048828125,1416.9000244140625,1439.199951171875,109941.0
2019-05-20,1460.0,1493.9000244140625,1408.0,1475.5,66529.0
2019-05-21,1461.0,1500.0,1450.0,1461.5999755859375,14668.0
2019-05-22,1474.75,1484.9000244140625,1443.5,1470.449951171875,17934.0
2019-05-23,1490.0,1499.9000244140625,1426.300048828125,1449.300048828125,24738.0
2019-05-24,1464.0,1470.0,1410.550048828125,1430.5999755859375,42529.0
2019-05-27,1429.4000244140625,1506.0999755859375,1414.300048828125,1427.8499755859375,57756.0
2019-05-28,1442.0,1450.9000244140625,1371.0,1398.300048828125,499869.0
2019-05-29,1387.0,1423.1500244140625,1368.4000244140625,1413.449951171875,42172.0
2019-05-30,1430.0,1432.1500244140625,1375.0,1382.449951171875,19750.0
2019-05-31,1400.449951171875,1443.75,1391.4000244140625,1419.699951171875,260347.0
2019-06-03,1407.3499755859375,1410.300048828125,1381.0,1384.4000244140625,24349.0
2019-06-04,1396.9000244140625,1418.0,1381.0,1397.699951171875,41928.0
2019-06-06,1410.949951171875,1410.949951171875,1350.0,1359.3499755859375,11337.0
2019-06-07,1360.0,1445.0,1351.0,1413.800048828125,79523.0
2019-06-10,1412.699951171875,1429.949951171875,1386.0,1393.550048828125,37658.0
2019-06-11,1405.0,1422.0,1392.050048828125,1414.699951171875,81380.0
2019-06-12,1427.0,1463.5999755859375,1402.25,1450.0999755859375,336017.0
2019-06-13,1463.0,1464.0,1428.25,1440.4000244140625,22266.0
2019-06-14,1459.0,1468.199951171875,1443.1500244140625,1456.75,58814.0
2019-06-17,1470.0,1484.75,1426.75,1459.75,41095.0
2019-06-18,1470.0,1563.5,1459.050048828125,1499.75,219583.0
2019-06-19,1505.0,1523.949951171875,1452.0,1470.0,15031.0
2019-06-20,1468.0,1500.0,1425.9000244140625,1493.050048828125,9433.0
2019-06-21,1505.0,1508.0,1411.5,1451.050048828125,638771.0
2019-06-24,1426.0,1490.0,1426.0,1473.25,9466.0
2019-06-25,1473.0,1520.0,1473.0,1491.75,127781.0
2019-06-26,1505.9000244140625,1517.949951171875,1470.050048828125,1491.75,7748.0
2019-06-27,1491.75,1540.0,1470.050048828125,1505.25,55965.0
2019-06-28,1518.949951171875,1518.949951171875,1492.699951171875,1499.300048828125,47597.0
2019-07-01,1514.75,1562.0,1507.0,1517.449951171875,42157.0
2019-07-02,1517.449951171875,1539.6500244140625,1495.0,1498.699951171875,14781.0
2019-07-03,1509.0,1527.0,1490.8499755859375,1512.699951171875,315791.0
2019-07-04,1503.0,1534.6500244140625,1503.0,1506.300048828125,9915.0
2019-07-05,1515.0,1533.9000244140625,1455.050048828125,1471.8499755859375,27402.0
